Adresas , Rajonas, Kambarių sk, Plotas, Kaina, Šildymas, Pastato tipas, Metai
 Elbingo g.,Pilaitė,1,64,87000.0,Centriniskolektorinis,Mūrinis,2018,
 Elbingo g.,Pilaitė,3,55,76000.0,Centriniskolektorinis,Mūrinis,2018,
 Elbingo g.,Pilaitė,2,48,69000.0,Centriniskolektorinis,Mūrinis,2018,
 Elbingo g.,Pilaitė,2,48,86000.0,Centriniskolektorinis,Mūrinis,2018,
 Žaliųjų Ežerų g.,Santariškės,2,51.5,88000.0,Centrinis,Mūrinis,1982statyba.2017renovacija,
 Danielių g.,Žvėrynas,2,58.22,229000.0,Centriniskolektorinis,Mūrinis,2016,
 Eitminų g.,Pašilaičiai,1,37.28,48000.0,Centriniskolektorinis,Mūrinis,2017,
 Burbiškių g.,Burbiškės,2,49.2,85629.0,Dujinis,Mūrinis,2019,
 Viršuliškių g.,Viršuliškės,1,29.66,52600.0,Centriniskolektorinis,Mūrinis,2019,
 Budiniškių g.,Pašilaičiai,1,24.77,39900.0,Centriniskolektorinis,Mūrinis,2020,
 Geležinio Vilko g.,Naujamiestis,2,40.83,71500.0,Centriniskolektorinis,Mūrinis,2016,
 Bitėnų g.,Pilaitė,2,59.4,93000.0,Centriniskolektorinis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,3,76.08,103000.0,Centriniskolektorinis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,2,38.64,85000.0,Centriniskolektorinis,Mūrinis,2019,
 Juodkrantės g.,Pilaitė,2,52.02,76500.0,Centriniskolektorinis,Mūrinis,2019,
 M. Mažvydo g.,Pilaitė,2,46.67,68500.0,Centriniskolektorinis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,3,54.27,74500.0,Centriniskolektorinis,Mūrinis,2018,
 Smėlio g.,Antakalnis,2,49.02,114094.0,Centriniskolektorinis,Monolitinis,2019,
 Pilkalnio g.,Pilaitė,3,57,83000.0,Aeroterminis,Mūrinis,2019,
 Tolminkiemio g.,Pilaitė,2,46.6,89000.0,Centrinis,Blokinis,2018,
 Tolminkiemio g.,Pilaitė,2,45.84,64000.0,Centrinis,Blokinis,2018,
 Perkūnkiemio g.,Pašilaičiai,2,35.5,58000.0,Centriniskolektorinis,Mūrinis,2008,
 M. Mažvydo g.,Pilaitė,3,60.57,88300.0,Centriniskolektorinis,Mūrinis,2019,
 Baltasis skg.,Užupis,4,101.35,299999.0,Dujinis,Medinis,1940statyba.2018renovacija,
 Giedraičių g.,Šnipiškės,2,52.06,98700.0,Centriniskolektorinis,Kita,2018,
 Elbingo g.,Pilaitė,1,64,87000.0,Centriniskolektorinis,Mūrinis,2018,
 Elbingo g.,Pilaitė,3,55,76000.0,Centriniskolektorinis,Mūrinis,2018,
 Elbingo g.,Pilaitė,2,48,69000.0,Centriniskolektorinis,Mūrinis,2018,
 Elbingo g.,Pilaitė,2,48,86000.0,Centriniskolektorinis,Mūrinis,2018,
 Žaliųjų Ežerų g.,Santariškės,2,51.5,88000.0,Centrinis,Mūrinis,1982statyba.2017renovacija,
 Danielių g.,Žvėrynas,2,58.22,229000.0,Centriniskolektorinis,Mūrinis,2016,
 Eitminų g.,Pašilaičiai,1,37.28,48000.0,Centriniskolektorinis,Mūrinis,2017,
 Burbiškių g.,Burbiškės,2,49.2,85629.0,Dujinis,Mūrinis,2019,
 Viršuliškių g.,Viršuliškės,1,29.66,52600.0,Centriniskolektorinis,Mūrinis,2019,
 Budiniškių g.,Pašilaičiai,1,24.77,39900.0,Centriniskolektorinis,Mūrinis,2020,
 Geležinio Vilko g.,Naujamiestis,2,40.83,71500.0,Centriniskolektorinis,Mūrinis,2016,
 Bitėnų g.,Pilaitė,2,59.4,93000.0,Centriniskolektorinis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,3,76.08,103000.0,Centriniskolektorinis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,2,38.64,85000.0,Centriniskolektorinis,Mūrinis,2019,
 Juodkrantės g.,Pilaitė,2,52.02,76500.0,Centriniskolektorinis,Mūrinis,2019,
 M. Mažvydo g.,Pilaitė,2,46.67,68500.0,Centriniskolektorinis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,3,54.27,74500.0,Centriniskolektorinis,Mūrinis,2018,
 Smėlio g.,Antakalnis,2,49.02,114094.0,Centriniskolektorinis,Monolitinis,2019,
 Pilkalnio g.,Pilaitė,3,57,83000.0,Aeroterminis,Mūrinis,2019,
 Tolminkiemio g.,Pilaitė,2,46.6,89000.0,Centrinis,Blokinis,2018,
 Tolminkiemio g.,Pilaitė,2,45.84,64000.0,Centrinis,Blokinis,2018,
 Perkūnkiemio g.,Pašilaičiai,2,35.5,58000.0,Centriniskolektorinis,Mūrinis,2008,
 M. Mažvydo g.,Pilaitė,3,60.57,88300.0,Centriniskolektorinis,Mūrinis,2019,
 Baltasis skg.,Užupis,4,101.35,299999.0,Dujinis,Medinis,1940statyba.2018renovacija,
 Giedraičių g.,Šnipiškės,2,52.06,98700.0,Centriniskolektorinis,Kita,2018,
 Rato g.,Antakalnis,2,48.89,102300.0,Dujinis,Mūrinis,2019,
 Žirmūnų g.,Žirmūnai,1,21.5,51000.0,Centrinis,Blokinis,1965,
 Manufaktūrų g.,Markučiai,3,65.64,165000.0,Centrinis,Blokinis,2018,
 Kęstučio g.,Žvėrynas,2,64,182100.0,Elektra.kita,Mūrinis,2016,
 Antakalnio g.,Antakalnis,2,33.77,76000.0,Centriniskolektorinis,Mūrinis,2019,
 Antakalnio g.,Antakalnis,2,35.49,78000.0,Centriniskolektorinis,Mūrinis,2019,
 Antakalnio g.,Antakalnis,2,50.43,105900.0,Centriniskolektorinis,Mūrinis,2019,
 Pilkalnio g.,Pilaitė,3,57,80000.0,Aeroterminis,Mūrinis,2019,
 Gedimino pr.,Senamiestis,4,81.5,289000.0,Centriniskolektorinis,Monolitinis,2019,
 Trinapolio g.,Žirmūnai,3,56.74,93600.0,Centriniskolektorinis,Mūrinis,2019,
 Baltasis skg.,Senamiestis,4,101.35,299999.0,Dujinis,Medinis,1940statyba.2018renovacija,
 Miškinių g.,Lazdynai,4,130,160000.0,Dujinis,Mūrinis,2019,
 Karaliaučiaus g.,Pilaitė,4,73.73,104618.0,Centriniskolektorinis,Blokinis,2018,
 M. Katkaus g.,Žirmūnai,2,48.17,94900.0,Centriniskolektorinis,Monolitinis,2019,
 Giedraičių g.,Šnipiškės,1,34,63500.0,Centriniskolektorinis,Kita,2018,
 Šv. Jono g.,Senamiestis,3,80.85,305000.0,Centrinis,Mūrinis,1979,
 Geležinio Vilko g.,Naujamiestis,3,62.34,98590.0,Centriniskolektorinis,Mūrinis,2016,
 Rato g.,Antakalnis,3,65.67,158000.0,Dujinis,Mūrinis,2019,
 Vaidilutės g.,Antakalnis,3,82.26,189000.0,Centriniskolektorinis,Mūrinis,2019,
 Žygimantų g.,Senamiestis,3,60.59,199900.0,Centriniskolektorinis,Mūrinis,2021,
 Rukeliškių g.,Antakalnis,4,124,156900.0,Centrinis.elektra,Mūrinis,1983,
 Laisvės pr.,Justiniškės,2,37.63,59700.0,Centriniskolektorinis,Mūrinis,2019,
 Lazdynėlių g.,Lazdynėliai,1,34.45,55800.0,Centriniskolektorinis,Mūrinis,2020,
 Manufaktūrų g.,Markučiai,1,36.8,97000.0,Centrinis,Blokinis,2018,
 A. Strazdelio g.,Senamiestis,5,132.29,369000.0,Centriniskolektorinis,Mūrinis,2010,
 Raugyklos g.,Senamiestis,2,48.5,156300.0,Centriniskolektorinis,Mūrinis,2019,
 Kalvarijų g.,Senamiestis,2,72,119900.0,Centrinis,Mūrinis,1940,
 Mykolo Sleževičiaus g.,Visoriai,2,38.73,62500.0,Centriniskolektorinis,Mūrinis,2019,
 Trinapolio g.,Žirmūnai,2,56.81,98000.0,Centriniskolektorinis,Mūrinis,2019,
